更新日期,期限,收益率(%),描述
2001-12-17,"1 Month",1.7200,"美国1个月期国债收益率"
1982-01-18,"3 Month",13.4100,"美国3个月期国债收益率"
1982-01-18,"6 Month",14.0900,"美国6个月期国债收益率"
1962-05-21,"1 Year",3.0500,"美国1年期国债收益率"
1976-10-18,"2 Year",5.7700,"美国2年期国债收益率"
1962-05-21,"3 Year",3.4600,"美国3年期国债收益率"
1962-05-21,"5 Year",3.7400,"美国5年期国债收益率"
1969-11-17,"7 Year",7.1800,"美国7年期国债收益率"
1962-05-21,"10 Year",3.9400,"美国10年期国债收益率"
1962-05-21,"20 Year",3.9600,"美国20年期国债收益率"
1977-07-01,"30 Year",7.5800,"美国30年期国债收益率"
